Date,Title,Price_old
2022-07-02 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,866.64
2022-07-03 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,788.2
2022-07-04 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,802.64
2022-07-05 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,856.22
2022-07-06 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,792.07
2022-07-07 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,870.2
2022-07-08 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,861.09
2022-07-09 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,943.59
2022-07-10 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,854.44
2022-07-11 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,942.11
2022-07-12 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,877.02
2022-07-13 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,810.94
2022-07-14 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,928.88
2022-07-15 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,827.85
2022-07-16 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,859.14
2022-07-17 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,943.68
2022-07-18 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,970.56
2022-07-19 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,931.67
2022-07-20 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,917.29
2022-07-21 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,844.57
2022-07-22 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,854.36
2022-07-23 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,934.17
2022-07-24 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,841.3
2022-07-25 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,801.42
2022-07-26 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,782.2
2022-07-27 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,947.34
2022-07-28 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,968.46
2022-07-29 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,902.68
2022-07-30 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,918.06
2022-07-31 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,835.02
2022-08-01 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,836.95
2022-08-02 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,911.93
2022-08-03 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,954.04
2022-08-04 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,846.16
2022-08-05 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,930.83
2022-08-06 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,832.05
2022-08-07 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,911.01
2022-08-08 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,881.88
2022-08-09 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,957.0
2022-08-10 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,973.36
2022-08-11 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,967.17
2022-08-12 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,839.49
2022-08-13 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,963.95
2022-08-14 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,884.73
2022-08-15 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,831.64
2022-08-16 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,850.47
2022-08-17 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,894.93
2022-08-18 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,852.22
2022-08-19 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,813.62
2022-08-20 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,895.53
2022-08-21 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,775.7
2022-08-22 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,972.63
2022-08-23 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,969.54
2022-08-24 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,872.48
2022-08-25 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,786.29
2022-08-26 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,968.05
2022-08-27 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,954.87
2022-08-28 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,957.64
2022-08-29 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,827.0
2022-08-30 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,845.4
2022-08-31 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,840.95
2022-09-01 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,815.68
2022-09-02 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,958.44
2022-09-03 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,888.0
2022-09-04 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,897.42
2022-09-05 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,868.14
2022-09-06 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,927.22
2022-09-07 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,821.73
2022-09-08 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,919.69
2022-09-09 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,835.27
2022-09-10 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,888.39
2022-09-11 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,841.64
2022-09-12 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,815.17
2022-09-13 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,901.59
2022-09-14 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,841.69
2022-09-15 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,827.72
2022-09-16 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,840.9
2022-09-17 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,817.73
2022-09-18 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,799.47
2022-09-19 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,885.41
2022-09-20 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,935.29
2022-09-21 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,819.39
2022-09-22 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,896.13
2022-09-23 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,790.59
2022-09-24 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,904.05
2022-09-25 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,896.74
2022-09-26 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,897.55
2022-09-27 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,814.78
2022-09-28 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,911.25
2022-09-29 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,790.96
2022-09-30 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,784.94
2022-10-01 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,947.41
2022-10-02 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,841.88
2022-10-03 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,966.43
2022-10-04 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,819.45
2022-10-05 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,908.15
2022-10-06 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,819.04
2022-10-07 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,916.98
2022-10-08 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,838.86
2022-10-09 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,832.4
2022-10-10 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,842.5
2022-10-11 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,894.39
2022-10-12 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,814.06
2022-10-13 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,952.65
2022-10-14 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,840.27
2022-10-15 15:52:29.026220,Couturier Automatic Black Dial Watch T0354073605101,910.04
